"Title"	"Series"	"Contributors"	"Average Rating"	"Number of Ratings"	"Number of Reviews"	"Description"	"Number of Pages"	"Publishing Date"	"Genres"	"Setting"	"Characters"	"ISBN"	"Language"	"URL"
"The Da Vinci Code"	"Robert Langdon"	"Dan    Brown"	"3.93"	"2,507,259"	"59,550"	"This is an alternate cover for 9780307277671. Others can be found:here,here,here,here,andhereWhile in Paris on business, Harvard symbologist Robert Langdon receives an urgent late-night phone call: the elderly curator of the Louvre has been murdered inside the museum. Near the body, police have found a baffling cipher. While working to solve the enigmatic riddle, Langdon is stunned to discover it leads to a trail of clues hidden in the works of Da Vinci -- clues visible for all to see -- yet ingeniously disguised by the painter.Langdon joins forces with a gifted French cryptologist, Sophie Neveu, and learns the late curator was involved in the Priory of Sion -- an actual secret society whose members included Sir Isaac Newton, Botticelli, Victor Hugo, and Da Vinci, among others.In a breathless race through Paris, London, and beyond, Langdon and Neveu match wits with a faceless powerbroker who seems to anticipate their every move. Unless Langdon and Neveu can decipher the labyrinthine puzzle in time, the Priory's ancient secret -- and an explosive historical truth -- will be lost forever.The Da Vinci Codeheralds the arrival of a new breed of lightning-paced, intelligent thriller utterly unpredictable right up to its stunning conclusion."	"489"	"March 28, 2006"	"Fiction; Mystery; Thriller; Mystery Thriller; Historical Fiction; Suspense; Adventure"	"France,England,Paris(France),United Kingdom"	"Sophie Neveu,Robert Langdon,Sir Leigh Teabing,Silas (The Da Vinci Code),Bezu Fache,Jerome Collet,Manuel Aringarosa,Rémy Legaludec,André Vernet"	"Unknown"	"English"	"https://www.goodreads.com/book/show/968.The_Da_Vinci_Code"
"Alice’s Adventures in Wonderland / Through the Looking-Glass"	"Alice's Adventures in Wonderland"	"Lewis Carroll; Martin Gardner; John Tenniel"	"4.06"	"605,423"	"17,787"	""I can't explain myself, I'm afraid, sir," said Alice, "Because I'm not myself, you see."When Alice sees a white rabbit take a watch out of its waistcoat pocket she decides to follow it, and a sequence of most unusual events is set in motion. This mini book contains the entire topsy-turvy stories of Alice's Adventures in Wonderland and Through the Looking-Glass, accompanied by practical notes and Martina Pelouso's memorable full-colour illustrations."	"239"	"December 1, 2000"	"Classics; Fantasy; Fiction; Childrens; Young Adult; Literature; Adventure"	"United Kingdom,England,Wonderland"	"The Hatter (Lewis Carroll),The Queen of Hearts (Lewis Carroll),The Cheshire Cat (Lewis Carroll),The White Rabbit (Lewis Carroll),Humpty Dumpty (Lewis Carroll),Tweedledum and Tweedledee (Lewis Carroll)(Goodreads),The Dormouse (Lewis Carroll),The Red Queen (Lewis Carroll),The White Queen (Lewis Carroll),The White Knight (Lewis Carroll),The Mock Turtle (Lewis Carroll),The Jabberwock (Lewis Carroll),The Caterpillar (Lewis Carroll),Alice Liddell,Dinah (Lewis Carroll),The March Hare (Lewis Carroll)"	"Unknown"	"English"	"https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass"
"Divergent"	"Divergent"	"Veronica Roth"	"4.13"	"4,344,802"	"126,906"	"She turns to the future in a world that’s falling apart.The No. 1 New York Times bestseller DIVERGENT – also a major motion picture.For sixteen-year-old Tris, the world changes in a heartbeat when she is forced to make a terrible choice. Turning her back on her family, Tris ventures out, alone, determined to find out where she truly belongs.Shocked by the brutality of her new life, Tris can trust no one. And yet she is drawn to a boy who seems to both threaten and protect her. The hardest choices may yet lie ahead….The first book in the DIVERGENT series that has swept the globe – selling millions of copies world-wide."	"487"	"February 28, 2012"	"Young Adult; Dystopia; Fantasy; Fiction; Science Fiction; Romance; Adventure"	"Chicago, Illinois(United States)"	"Albert,Drew Leighton (Divergent),Eric (Divergent),Beatrice Prior,Peter,Caleb Prior,Natalie Prior,Molly Atwood,Christina,Jeanine Matthews,Marcus Eaton,Tobias Eaton"	"9780062024039(ISBN10: 0062024035)"	"English"	"https://www.goodreads.com/book/show/13335037-divergent"
"Memoirs of a Geisha"	"None"	"Arthur Golden"	"4.16"	"2,100,408"	"39,108"	"A literary sensation and runaway bestseller, this brilliant novel presents with seamless authenticity and exquisite lyricism the true confessions of one of Japan's most celebrated geisha.In "Memoirs of a Geisha," we enter a world where appearances are paramount; where a girl's virginity is auctioned to the highest bidder; where women are trained to beguile the most powerful men; and where love is scorned as illusion. It is a unique and triumphant work of fiction - at once romantic, erotic, suspenseful - and completely unforgettable."	"503"	"November 22, 2005"	"Fiction; Historical Fiction; Romance; Classics; Historical; Japan; Book Club"	"Kyoto(Japan, 1930),Japan"	"Sayuri Nitta,Mr. Bekku,Ichiro Tanaka,Dr. Crab,Hatsumono,Mameha,Ken Iwamura,Pumpkin,Toshikazu Nobu"	"9781400096893(ISBN10: 1400096898)"	"English"	"https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha"
"Les Misérables"	"None"	"Victor Hugo; Norman MacAfee; Charles E. Wilbour"	"4.21"	"839,539"	"25,351"	"Victor Hugo's tale of injustice, heroism and love follows the fortunes of Jean Valjean, an escaped convict determined to put his criminal past behind him. But his attempts to become a respected member of the community are constantly put under threat: by his own conscience, when, owing to a case of mistaken identity, another man is arrested in his place; and by the relentless investigations of the dogged Inspector Javert. It is not simply for himself that Valjean must stay free, however, for he has sworn to protect the baby daughter of Fantine, driven to prostitution by poverty."	"1463"	"March 3, 1987"	"Classics; Fiction; Historical Fiction; Literature; France; Historical; Novels"	"Paris(France),France,Digne(France),Montreuil(France)"	"Jean Valjean,Javert,Cosette,Fantine,Bishop Myriel,M. & Mme. Thénardier,Marius Pontmercy,Enjolras,Éponine,Gavroche,Azelma,Champmathieu,Fauchelevent,Grantaire,Mademoiselle Gillenorman,Felix Tholomyès,Toussaint,Combeferre,Bahorel,Bossuet"	"9780451525260(ISBN10: 0451525264)"	"English"	"https://www.goodreads.com/book/show/24280.Les_Mis_rables"
"The Alchemist"	"None"	"Paulo Coelho; Alan R. Clarke"	"3.92"	"3,518,831"	"144,086"	"Paulo Coelho's masterpiece tells the mystical story of Santiago, an Andalusian shepherd boy who yearns to travel in search of a worldly treasure. His quest will lead him to riches far different, and far more satisfying, listening to our hearts, of recognizing opportunity and learning to read the omens strewn along life's path, and, most importantly, to follow our dreams."	"197"	"May 1, 1993"	"Fiction; Classics; Fantasy; Philosophy; Self Help; Book Club; Novels"	"Egypt,Sahara Desert,Tangier(Morocco),Andalusia(Spain),Spain,Morocco,North Africa"	"Santiago,Alchemist,Melchizedek"	"9780061122415(ISBN10: 0061122416)"	"English"	"https://www.goodreads.com/book/show/865.The_Alchemist"
"Anne of Green Gables"	"Anne of Green Gables"	"L.M. Montgomery; Jennifer Lee Carrell"	"4.33"	"1,101,925"	"47,189"	"This heartwarming story has beckoned generations of readers into the special world of Green Gables, an old-fashioned farm outside a town called Avonlea. Anne Shirley, an eleven-year-old orphan, has arrived in this verdant corner of Prince Edward Island only to discover that the Cuthberts—elderly Matthew and his stern sister, Marilla—want to adopt a boy, not a feisty redheaded girl. But before they can send her back, Anne—who simply must have more scope for her imagination and a real home—wins them over completely. A much-loved classic that explores all the vulnerability, expectations, and dreams of a child growing up,Anne of Green Gablesis also a wonderful portrait of a time, a place, a family… and, most of all, love.WITH AN AFTERWORD BY JENNIFER LEE CARELL"	"320"	"May 6, 2003"	"Classics; Fiction; Young Adult; Historical Fiction; Childrens; Audiobook; Middle Grade"	"Avonlea, Prince Edward Island(Canada),Prince Edward Island(Canada),Canada"	"Matthew Cuthbert,Diana Barry,Gilbert Blythe,Anne Shirley,Marilla Cuthbert,Rachel Lynde,Jane Andrews,Ruby Gillis,Josie Pye,Prissy Andrews,Mr. Phillips,Mrs. Allan,Muriel Stacey"	"9780451528827(ISBN10: 0451528824)"	"English"	"https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables"
"Lord of the Flies"	"None"	"William Golding"	"3.70"	"3,168,903"	"66,193"	"At the dawn of the next world war, a plane crashes on an uncharted island, stranding a group of schoolboys. At first, with no adult supervision, their freedom is something to celebrate; this far from civilization the boys can do anything they want. Anything. They attempt to forge their own society, failing, however, in the face of terror, sin and evil. And as order collapses, as strange howls echo in the night, as terror begins its reign, the hope of adventure seems as far from reality as the hope of being rescued. Labeled a parable, an allegory, a myth, a morality tale, a parody, a political treatise, even a vision of the apocalypse, Lord of the Flies is perhaps our most memorable novel about “the end of innocence, the darkness of man’s heart.”"	"182"	"October 1, 1999"	"Classics; Fiction; Young Adult; School; Dystopia; Literature; Read For School"	"Unknown"	"Ralph,Piggy,Roger,Jack Merridew,Simon"	"9780140283334(ISBN10: 0140283331)"	"English"	"https://www.goodreads.com/book/show/7624.Lord_of_the_Flies"
"Brave New World"	"Brave New World"	"Aldous Huxley"	"3.99"	"2,056,120"	"59,944"	"Brave New Worldis a dystopian social science fiction novel by English author Aldous Huxley. Largely set in a futuristic World State, whose citizens are environmentally engineered into an intelligence-based social hierarchy, the novel anticipates huge scientific advancements in reproductive technology, sleep-learning, psychological manipulation and classical conditioning that are combined to make a dystopian society which is challenged by only a single individual: the story's protagonist."	"288"	"September 1, 1998"	"Classics; Fiction; Science Fiction; Dystopia; Literature; Novels; School"	"New Mexico(United States),London, England(, 2540)"	"John (Brave New World),Bernard Marx,Lenina Crowne,Helmholtz Watson,Mustapha Mond,The Warden,Pope,Linda (Brave New World),Fanny Crowne,The Director,The Arch-Community Songster"	"9780060929879(ISBN10: 0060929871)"	"English"	"https://www.goodreads.com/book/show/5129.Brave_New_World"
"Romeo and Juliet"	"None"	"William Shakespeare"	"3.74"	"2,802,264"	"37,609"	"InRomeo and Juliet, Shakespeare creates a violent world, in which two young people fall in love. It is not simply that their families disapprove; the Montagues and the Capulets are engaged in a blood feud.In this death-filled setting, the movement from love at first sight to the lovers’ final union in death seems almost inevitable. And yet, this play set in an extraordinary world has become the quintessential story of young love. In part because of its exquisite language, it is easy to respond as if it were about all young lovers."	"281"	"January 1, 2002"	"Classics; Plays; Fiction; Romance; School; Shakespeare; Drama"	"Verona(Italy),Italy"	"Friar Lawrence,Paris,Escalus,Montague.,Lady Montague,Abram,Balthasar,Capulet,Lady Capulet,Sampson,Friar John,Mercutio,Benvolio,Romeo,Juliet"	"9780743477116(ISBN10: 0743477111)"	"English"	"https://www.goodreads.com/book/show/18135.Romeo_and_Juliet"
"The Hitchhiker’s Guide to the Galaxy"	"The Hitchhiker’s Guide to the Galaxy"	"Douglas Adams"	"4.22"	"1,999,919"	"54,909"	"Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide ("A towel is about the most massively useful thing an interstellar hitchhiker can have") and a galaxy-full of fellow travelers: Zaphod Beeblebrox--the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.Where are these pens? Why are we born? Why do we die? Why do we spend so much time between wearing digital watches? For all the answers stick your thumb to the stars. And don't forget to bring a towel!"	"216"	"January 1, 2005"	"Science Fiction; Fiction; Classics; Humor; Fantasy; Audiobook; Comedy"	"Magrathea,Space"	"Zaphod Beeblebrox,Arthur Dent,Ford Prefect,Trillian,Marvin, the paranoid android,Slartibartfast"	"Unknown"	"English"	"https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy"
"City of Bones"	"The Mortal Instruments"	"Cassandra Clare"	"4.07"	"2,153,307"	"81,543"	"When fifteen-year-old Clary Fray heads out to the Pandemonium Club in New York City, she hardly expects to witness a murder—much less a murder committed by three teenagers covered with strange tattoos and brandishing bizarre weapons. Then the body disappears into thin air. It’s hard to call the police when the murderers are invisible to everyone else and when there is nothing—not even a smear of blood—to show that a boy has died. Or was he a boy?This is Clary’s first meeting with the Shadowhunters, warriors dedicated to ridding the earth of demons. It’s also her first encounter with Jace, a Shadowhunter who looks a little like an angel and acts a lot like a jerk. Within twenty-four hours Clary is pulled into Jace’s world with a vengeance, when her mother disappears and Clary herself is attacked by a demon. But why would demons be interested in ordinary mundanes like Clary and her mother? And how did Clary suddenly get the Sight? The Shadowhunters would like to know..."	"485"	"March 27, 2007"	"Fantasy; Young Adult; Romance; Paranormal; Urban Fantasy; Fiction; Vampires"	"New York City, New York(United States, 2007)"	"Alexander "Alec" Lightwood,Jonathan "Jace" Wayland,Valentine Morgenstern,Isabelle "Izzy" Sophia Lightwood,Magnus Bane,Jocelyn Fray,Luke Garroway,Clarissa "Clary" Fray,Simon Lewis"	"9781416914280(ISBN10: 1416914285)"	"English"	"https://www.goodreads.com/book/show/256683.City_of_Bones"
"The Help"	"None"	"Kathryn Stockett"	"4.47"	"2,996,794"	"93,862"	"Three ordinary women are about to take one extraordinary step.Twenty-two-year-old Skeeter has just returned home after graduating from Ole Miss. She may have a degree, but it is 1962, Mississippi, and her mother will not be happy till Skeeter has a ring on her finger. Skeeter would normally find solace with her beloved maid Constantine, the woman who raised her, but Constantine has disappeared and no one will tell Skeeter where she has gone.Aibileen is a black maid, a wise, regal woman raising her seventeenth white child. Something has shifted inside her after the loss of her own son, who died while his bosses looked the other way. She is devoted to the little girl she looks after, though she knows both their hearts may be broken.Minny, Aibileen's best friend, is short, fat, and perhaps the sassiest woman in Mississippi. She can cook like nobody's business, but she can't mind her tongue, so she's lost yet another job. Minny finally finds a position working for someone too new to town to know her reputation. But her new boss has secrets of her own.Seemingly as different from one another as can be, these women will nonetheless come together for a clandestine project that will put them all at risk. And why? Because they are suffocating within the lines that define their town and their times. And sometimes lines are made to be crossed.In pitch-perfect voices, Kathryn Stockett creates three extraordinary women whose determination to start a movement of their own forever changes a town, and the way women, mothers, daughters, caregivers, friends, view one another. A deeply moving novel filled with poignancy, humor, and hope, The Help is a timeless and universal story about the lines we abide by, and the ones we don't.Librarian's note: An alternate cover edition can be foundhere"	"451"	"January 1, 2009"	"Fiction; Historical Fiction; Book Club; Historical; Classics; Adult; Adult Fiction"	"Jackson, Mississippi(United States, 1962),Mississippi(United States),The United States of America"	"Eugenia “Skeeter” Phelan,Aibileen Clark,Minny Jackson,Hilly Holbrook,Elizabeth Leefolt,Celia Foote,Stuart Whitworth,Johnny Foote,Mae Mobley Leefolt"	"9780399155345(ISBN10: 0399155341)"	"English"	"https://www.goodreads.com/book/show/4667024-the-help"
